0x95	0xef3V0x95	0
0xb1	0xf95V0xb1	0
0xb1	0xfc4V0xb1	1
0xcd	0x106eV0xcd	0
0xcd	0x109dV0xcd	1
0xcd	0x1020V0x10a2V0xcd	2
0xfd	0x1199V0xfd	3
0xfd	0x1020V0x1142V0xfd	0
0xfd	0x1020V0x114fV0xfd	1
0xfd	0x1117V0x1160V0xfd	2
0xfd	0x1020V0x119eV0xfd	4
0x12d	0x1374V0x12d	1
0x12d	0x11e0V0x133fV0x12d	0
0x15d	0x1020V0x13c2V0x15d	0
0x15d	0x1020V0x13cfV0x15d	1
0x15d	0x1117V0x13e0V0x15d	2
0x18d	0xef3V0x18d	0
0x1bd	0x1020V0x13c2V0x1bd	0
0x1bd	0x1020V0x13cfV0x1bd	1
0x1bd	0x1117V0x13e0V0x1bd	2
0x1d9	0x1493V0x1d9	3
0x1d9	0x1020V0x143cV0x1d9	0
0x1d9	0x1020V0x1449V0x1d9	1
0x1d9	0x1117V0x145aV0x1d9	2
