item_id,dependence_cluster_id,dependence_cluster_size,linkage_evidence,authority_address,creator_address,creator_kind,public_name_signals,canonical_similarity_holds,development_control_similarity_holds,public_evidence_references
ethereum:0x000001a53f4a8a05709d171213832453b4e1ffbd,D0001,1,SINGLETON_NO_MUST_LINK,0x00003db390eba12a705f7fcd5d9482b545c882e9,0x0000000000ffe8b47b3e2130213b802212439497,CONTRACT,,F00013:0.507166,,"https://eth.blockscout.com/api/v2/addresses/0x000001a53f4a8a05709d171213832453b4e1ffbd;https://eth.blockscout.com/api/v2/smart-contracts/0x000001a53f4a8a05709d171213832453b4e1ffbd;https://etherscan.io/address/0x000001a53f4a8a05709d171213832453b4e1ffbd;https://etherscan.io/tx/0x3632bd116bc3e0074d8f0588b4d7bbb07f953d770824b929aeeef268abe73489;https://sourcify.dev/server/v2/contract/1/0x000001a53f4a8a05709d171213832453b4e1ffbd?fields=compilation,proxyResolution"
ethereum:0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768,D0002,1,SINGLETON_NO_MUST_LINK,0x222e5b8216dbdc67352ea23bad7dab540c753437,0x0000000000ffe8b47b3e2130213b802212439497,CONTRACT,,F00037:0.717510;F00202:0.550841,,"https://eth.blockscout.com/api/v2/addresses/0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768;https://eth.blockscout.com/api/v2/smart-contracts/0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768;https://etherscan.io/address/0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768;https://etherscan.io/tx/0xb53eaaf7303c8222d2456c5b41c306d4d590f6882851968ddbadabb29cbc0b83;https://sourcify.dev/server/v2/contract/1/0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768?fields=compilation,proxyResolution"
ethereum:0x000064946ee43ea87b413939b899069672190000,D0003,1,SINGLETON_NO_MUST_LINK,0x238cb9d5898b53cc5b59fd8ecd22676db3ac6009,0x0000000000ffe8b47b3e2130213b802212439497,CONTRACT,,F01230:0.746407;F01214:0.706452;F01033:0.682470;F00710:0.640827;F00904:0.630670,,"https://eth.blockscout.com/api/v2/addresses/0x000064946ee43ea87b413939b899069672190000;https://eth.blockscout.com/api/v2/smart-contracts/0x000064946ee43ea87b413939b899069672190000;https://etherscan.io/address/0x000064946ee43ea87b413939b899069672190000;https://etherscan.io/tx/0xa037c204b8a122c286a6a32d1d5d38cf7dcc190a5854373cc2775c5b3f207aea;https://sourcify.dev/server/v2/contract/1/0x000064946ee43ea87b413939b899069672190000?fields=compilation,proxyResolution"
ethereum:0x01e56fd1003cf460909d5f8144ee20014ca8534b,D0004,1,SINGLETON_NO_MUST_LINK,0xf55ed011fd34b152bee00d7866b469ff552fa13a,0x361425e0907deeea6cfcee488a10ddc5bfbbcff1,EOA,,F00923:0.782609;F01302:0.769857;F00011:0.678243;F01270:0.611167;F00897:0.605944,,"https://eth.blockscout.com/api/v2/addresses/0x01e56fd1003cf460909d5f8144ee20014ca8534b;https://eth.blockscout.com/api/v2/smart-contracts/0x01e56fd1003cf460909d5f8144ee20014ca8534b;https://etherscan.io/address/0x01e56fd1003cf460909d5f8144ee20014ca8534b;https://etherscan.io/tx/0x45ce9aea8bedeb465b2a6d6cf80ab6a2e0aef1bda243cf1d9ccdd31871e6f04e;https://sourcify.dev/server/v2/contract/1/0x01e56fd1003cf460909d5f8144ee20014ca8534b?fields=compilation,proxyResolution"
ethereum:0x029901e77902e3656ee7b207d04df5330c4450c7,D0005,2,SHARED_AUTHORITY_EOA,0x3d12a3dd360ca2005ad314c51272ad68f6c624c5,0x26e86b0acf511d88bff86cc25ac3a5c936cd4caf,EOA,,F00736:0.679245;F00923:0.629202;F01268:0.621679;F00775:0.618085;F00842:0.609148,,"https://eth.blockscout.com/api/v2/addresses/0x029901e77902e3656ee7b207d04df5330c4450c7;https://eth.blockscout.com/api/v2/smart-contracts/0x029901e77902e3656ee7b207d04df5330c4450c7;https://etherscan.io/address/0x029901e77902e3656ee7b207d04df5330c4450c7;https://etherscan.io/tx/0x0edceb260a31a4033ef5b0cea42bb5bf137f261b4f0f82e253b00139c1854a2e;https://sourcify.dev/server/v2/contract/1/0x029901e77902e3656ee7b207d04df5330c4450c7?fields=compilation,proxyResolution"
ethereum:0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f,D0006,3,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA,0xd5adabc8f98a485c8efa50599afbe926b3e6dd49,0x024b9e8e4c6c99a4cddec99eb81de826ce961238,EOA,,,,"https://eth.blockscout.com/api/v2/addresses/0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f;https://eth.blockscout.com/api/v2/smart-contracts/0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f;https://etherscan.io/address/0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f;https://etherscan.io/tx/0x885042fa77b078e9f691b311710724d89d0ea27837a8f840df8f81e95aaa088b;https://sourcify.dev/server/v2/contract/1/0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f?fields=compilation,proxyResolution"
ethereum:0x056a25be39d351d28a49ea30e023e2cb2e380d7c,D0007,1,SINGLETON_NO_MUST_LINK,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0xa96ac0d6cc2f939b087986104158fe04bc2ebbcd,EOA,,,,"https://eth.blockscout.com/api/v2/addresses/0x056a25be39d351d28a49ea30e023e2cb2e380d7c;https://eth.blockscout.com/api/v2/smart-contracts/0x056a25be39d351d28a49ea30e023e2cb2e380d7c;https://etherscan.io/address/0x056a25be39d351d28a49ea30e023e2cb2e380d7c;https://etherscan.io/tx/0xeb52559142fcc73fbda9f3fbdc62d88f117aa8577f35aea62a0c60c29ab7c31c;https://sourcify.dev/server/v2/contract/1/0x056a25be39d351d28a49ea30e023e2cb2e380d7c?fields=compilation,proxyResolution"
ethereum:0x07e24e265de698fb3b2b02315f70154619a184b0,D0008,1,SINGLETON_NO_MUST_LINK,0xac785a5f9310f53e6bdfc12afe393e2802b4e8ba,0x257dc9239d2c55d07c503dce0db413d1fc7ae8e9,EOA,,F00142:0.560855;F00129:0.535101;F01309:0.520270;F01285:0.503962;F00790:0.502447,,"https://eth.blockscout.com/api/v2/addresses/0x07e24e265de698fb3b2b02315f70154619a184b0;https://eth.blockscout.com/api/v2/smart-contracts/0x07e24e265de698fb3b2b02315f70154619a184b0;https://etherscan.io/address/0x07e24e265de698fb3b2b02315f70154619a184b0;https://etherscan.io/tx/0xfbee01ede0d7e7f9f172ad076a7160d865b81ad4a346aeec34364ea6d4b35005;https://sourcify.dev/server/v2/contract/1/0x07e24e265de698fb3b2b02315f70154619a184b0?fields=compilation,proxyResolution"
ethereum:0x09b7496152fe1136ecfdc60d79d40f56837fecf8,D0009,1,SINGLETON_NO_MUST_LINK,0x0458b911a4dbc6dffc727980eebca13afd7ba597,0xdeadc0dec18f9f380c7c272e366a5e0b32aa1eff,CONTRACT,,F01302:0.530325;F00923:0.503480,,"https://eth.blockscout.com/api/v2/addresses/0x09b7496152fe1136ecfdc60d79d40f56837fecf8;https://eth.blockscout.com/api/v2/smart-contracts/0x09b7496152fe1136ecfdc60d79d40f56837fecf8;https://etherscan.io/address/0x09b7496152fe1136ecfdc60d79d40f56837fecf8;https://etherscan.io/tx/0xe6b8672e65c4d04808fec9a79d7f96f0520b9ac0c9065f9cffba1b1477c4f40c;https://sourcify.dev/server/v2/contract/1/0x09b7496152fe1136ecfdc60d79d40f56837fecf8?fields=compilation,proxyResolution"
ethereum:0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3,D0010,1,SINGLETON_NO_MUST_LINK,0x01a9a6279854eff17169e3936296291296a62292,0xdead7f94da688543dcf661114abbf626a8386666,CONTRACT,SimpleEncodedExecutor;smallgas.sol;smallgas.sol:SimpleEncodedExecutor,F01230:0.472012,,"https://eth.blockscout.com/api/v2/addresses/0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3;https://eth.blockscout.com/api/v2/smart-contracts/0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3;https://etherscan.io/address/0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3;https://etherscan.io/tx/0x43ce54dacbd423ab25059b4454ec5368d642465e3c432f61839745435a4b0e70;https://sourcify.dev/server/v2/contract/1/0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3?fields=compilation,proxyResolution"
ethereum:0x0b8d765cc8bce6d1b53d1d525ed944da082bf1fe,D0011,1,SINGLETON_NO_MUST_LINK,0xdaa9ae6e662e010d5ee34c07985bc21ca81d0661,0xc7ad0604659144cca3d81aac7d0ca11828bb679b,EOA,,F00007:0.706399;F01083:0.636250;F00740:0.602410;F00709:0.546497;F01165:0.542739,,"https://eth.blockscout.com/api/v2/addresses/0x0b8d765cc8bce6d1b53d1d525ed944da082bf1fe;https://eth.blockscout.com/api/v2/smart-contracts/0x0b8d765cc8bce6d1b53d1d525ed944da082bf1fe;https://etherscan.io/address/0x0b8d765cc8bce6d1b53d1d525ed944da082bf1fe;https://etherscan.io/tx/0xfc413ca9e3c9b0efcec1e7a8d95422905f55822a2e9599df5a7d8d436e3d2a68;https://sourcify.dev/server/v2/contract/1/0x0b8d765cc8bce6d1b53d1d525ed944da082bf1fe?fields=compilation,proxyResolution"
ethereum:0x0cdd0482d874f4146d1e6ed06bdd0f6aad1caacc,D0012,1,SINGLETON_NO_MUST_LINK,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x53a1f685d66c14962e7ebbc58e5f30b17b0c06df,CONTRACT,,,,"https://eth.blockscout.com/api/v2/addresses/0x0cdd0482d874f4146d1e6ed06bdd0f6aad1caacc;https://eth.blockscout.com/api/v2/smart-contracts/0x0cdd0482d874f4146d1e6ed06bdd0f6aad1caacc;https://etherscan.io/address/0x0cdd0482d874f4146d1e6ed06bdd0f6aad1caacc;https://etherscan.io/tx/0x921601246959cfc25938a59033ced3ddb214b4b7b6f192692f4c7e3de8d10bfc;https://sourcify.dev/server/v2/contract/1/0x0cdd0482d874f4146d1e6ed06bdd0f6aad1caacc?fields=compilation,proxyResolution"
