model,condition,seed,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
authguard_reference_16384,F200,7702,0.4333333333333333,0.25,0.25230263355550286,0.0,0.5,0.0,0.5,0.0,0.5
authguard_reference_16384,M0,7702,0.5,0.0,0.25290011879653407,0.0,0.75,0.0,0.75,0.0,0.75
chunk_attention_control_16384,F200,7702,0.48333333333333334,0.375,0.25130976427949453,0.0,0.25,0.0,0.25,0.0,0.25
chunk_attention_control_16384,M0,7702,1.0,1.0,0.248077350112657,0.0,0.0,0.0,0.0,0.0,0.0
chunk_attention_control_2048,F200,7702,0.5011904761904762,0.4375,0.2521824497664599,0.0,0.25,0.0,0.25,0.0,0.25
chunk_attention_control_2048,M0,7702,0.5714285714285714,0.25,0.2496853608472241,0.0,0.0,0.0,0.0,0.0,0.0
chunk_mean_control_16384,F200,7702,0.3654761904761905,0.0,0.25410576512385286,0.0,0.5,0.0,0.5,0.0,0.5
chunk_mean_control_16384,M0,7702,0.5,0.0,0.26121175825741766,0.0,0.5,0.0,0.5,0.0,0.5
flat_control_16384,F200,7702,0.5666666666666667,0.5,0.25369534933809873,0.0,0.25,0.0,0.25,0.0,0.25
flat_control_16384,M0,7702,0.5714285714285714,0.25,0.2593854922183031,0.0,0.5,0.0,0.5,0.0,0.5
flat_control_2048,F200,7702,0.7291666666666666,0.625,0.24759877918812942,0.25,0.0,0.25,0.0,0.25,0.0
flat_control_2048,M0,7702,0.8,0.75,0.24775257147170116,0.0,0.0,0.0,0.0,0.0,0.0
